"Name","Address","Signal Level","Channel","Security","WPS Support","Time","Longitude","Latitude"
"Proximus Public Wi-Fi","c6:ea:1d:e9:60:48","-85","6","WPA2","NO","2021-07-30 16:55:23","4.02317509","50.69219124"
"Fred 2.4","c4:ea:1d:6a:08:57","-86","1","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"TPLink-tof","98:da:c4:ed:da:b7","-91","40","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"WiFi-2.4-5AFA","22:b0:01:cf:d0:03","-86","8","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"totof666","68:15:90:0f:a3:99","-91","48","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"devolo-115","30:d3:2d:95:81:16","-94","36","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"Proximus Public Wi-Fi","3a:35:fb:57:5b:01","-71","11","WPA2","NO","2021-07-30 16:56:00","4.02285975","50.6926522"
"WiFi-2.4-5AFA","38:35:fb:57:5b:00","-63","11","WPA2","WPS","2021-07-30 16:56:00","4.02285975","50.6926522"
"Proximus Public Wi-Fi","6e:ba:b8:11:93:77","-78","1","WPA2","NO","2021-07-30 16:56:00","4.02285975","50.6926522"
"WiFi-5.0-5AFA","20:b0:01:cf:d0:fb","-75","100","WPA2","WPS","2021-07-30 16:56:00","4.02285975","50.6926522"
"Proximus-Home-9370","6c:ba:b8:11:93:76","-82","1","WPA2","WPS","2021-07-30 16:56:00","4.02285975","50.6926522"
"VOO-2WFUSG1","98:52:4a:65:e5:a8","-83","100","WPA2","WPS","2021-07-30 16:56:00","4.02285975","50.6926522"
"WiFi-5.0-5AFA","38:35:fb:57:5b:01","-83","100","WPA2","WPS","2021-07-30 16:56:00","4.02285975","50.6926522"
"WiFi-2.4-B2F8","30:d3:2d:c6:1e:26","-84","1","WPA2","WPS","2021-07-30 16:56:00","4.02285975","50.6926522"
"VOO-2WFUSG1","98:52:4a:65:e5:a0","-85","11","WPA2","WPS","2021-07-30 16:56:00","4.02285975","50.6926522"
"WiFi-2.4-BDD4","2c:79:d7:4c:bd:da","-83","13","WPA2","WPS","2021-07-30 16:56:00","4.02285975","50.6926522"
"Proximus Public Wi-Fi","2e:79:d7:4c:bd:db","-83","13","WPA2","NO","2021-07-30 16:56:00","4.02285975","50.6926522"
"WiFi-2.4-B250","30:d3:2d:91:dc:9d","-87","1","WPA2","WPS","2021-07-30 16:56:00","4.02285975","50.6926522"
"WiFi-2.4-5AFA","22:b0:01:cf:d0:03","-63","8","WPA2","WPS","2021-07-30 16:56:10","4.02246434","50.69260803"
"WiFi-2.4-BDD4","2c:79:d7:4c:bd:da","-75","13","WPA2","WPS","2021-07-30 16:56:10","4.02246434","50.69260803"
"VOO-2WFUSG1","98:52:4a:65:e5:a8","-74","100","WPA2","WPS","2021-07-30 16:56:10","4.02246434","50.69260803"
"VOO-2WFUSG1","98:52:4a:65:e5:a0","-67","11","WPA2","WPS","2021-07-30 16:56:10","4.02246434","50.69260803"
"WiFi-5.0-5AFA","38:35:fb:57:5b:01","-75","100","WPA2","WPS","2021-07-30 16:56:10","4.02246434","50.69260803"
"Proximus Public Wi-Fi","2e:79:d7:4c:bd:db","-78","13","WPA2","NO","2021-07-30 16:56:10","4.02246434","50.69260803"
"WiFi-2.4-B250","7c:26:64:90:b2:57","-82","104","WPA2","WPS","2021-07-30 16:56:10","4.02246434","50.69260803"
"SMA3011759689","64:69:4e:90:3a:78","-83","8","WPA2","WPS","2021-07-30 16:56:10","4.02246434","50.69260803"
"Proximus Public Wi-Fi","32:93:bc:d0:72:5f","-84","1","WPA2","NO","2021-07-30 16:56:10","4.02246434","50.69260803"
"SMA3006899715","38:81:d7:3b:9d:d9","-86","3","WPA2","WPS","2021-07-30 16:56:10","4.02246434","50.69260803"
"Proximus-Home-7258","30:93:bc:d0:72:5f","-87","52","WPA2","WPS","2021-07-30 16:56:10","4.02246434","50.69260803"
"WiFi-5.0-BDD4","2c:79:d7:4c:bd:db","-88","48","WPA2","WPS","2021-07-30 16:56:10","4.02246434","50.69260803"
